
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
600 FRACTURE17_S 9 -25.589 -141.021 47.8006 -24753.8 -11115.2 -7758.25 0.00437503 58.1717 26.4869
600 FRACTURE17_S 10 -27.3202 -136.771 48.214 -24281.2 -4946.91 -11261.9 0.00561363 36.2076 38.2638
600 FRACTURE17_S 11 -28.7414 -133.282 50.8663 -24063.5 1807.9 -11932.9 0.0059325 -17.2082 42.8499
600 FRACTURE18_S 0 107.643 -115.344 81.3307 -7051.65 -25325.2 7121.41 0.0118985 66.628 -15.5298
600 FRACTURE18_S 1 104.288 -120.321 82.0997 -7071.74 -27011.2 -3863.01 0.0117687 68.9041 9.24281
600 FRACTURE18_S 2 101.598 -124.313 85.7669 -7188 -21577.1 -14649.9 0.0159826 58.5527 26.146
600 FRACTURE18_S 3 100.293 -126.249 91.3495 -7104.72 -9611.79 -22104.9 0.021598 35.9984 38.3326
600 FRACTURE18_S 4 100.723 -125.611 97.3517 -6988.47 6273.94 -23590.7 0.0235923 -26.3218 41.0226
600 FRACTURE18_S 5 102.772 -122.57 102.165 -6843.09 20391.7 -17917.5 0.0196185 -54.6874 29.2625
600 FRACTURE18_S 6 105.892 -117.941 104.5 -6467 28853.7 -6719.93 0.014591 -67.5021 13.5568
600 FRACTURE18_S 7 109.247 -112.964 103.731 -5743.11 28940.4 5093.64 0.0138739 -68.4321 -10.9346
600 FRACTURE18_S 8 111.937 -108.972 100.064 -4953.52 21493.2 15756.3 0.0173171 -57.4754 -27.089
600 FRACTURE18_S 9 113.242 -107.036 94.4814 -6481.92 7792.33 20918.2 0.0190049 -32.841 -39.3122
600 FRACTURE18_S 10 112.812 -107.673 88.4792 -6456.37 -5809.07 20851.3 0.018477 27.1815 -40.8186
600 FRACTURE18_S 11 110.763 -110.714 83.6657 -6644.28 -17764.3 15906.7 0.0152763 54.3777 -29.4836
600 FRACTURE19_S 0 112.987 -56.0096 121.355 -3188.02 10771.9 13067 0.0088274 -48.9682 -32.8397
600 FRACTURE19_S 1 112.206 -55.3121 125.555 -3267.83 900.666 16015.2 0.0106083 -7.25569 -44.2675
600 FRACTURE19_S 2 113.096 -56.1066 129.717 -3609.96 -9752.72 14192.3 0.00977493 45.4091 -34.6381
600 FRACTURE19_S 3 115.419 -58.1802 132.724 -4202.8 -16824 8037.15 0.006995 62.6842 -21.7671
600 FRACTURE19_S 4 118.552 -60.9773 133.771 -4068.63 -18597.6 2.58435 0.00528673 70 -0.0108368
